FREQ,REF_AREA,DATA_TYPE_AGGR,VALUATION,ADJUSTMENT,EDITION,TIME_PERIOD,OBS_VALUE
A,ITD4,B1G_B_W2_S1,V,N,2025M1,2021,36143.0
A,ITD4,B1G_B_W2_S1,V,N,2025M1,2022,38350.0
A,ITD4,B1G_B_W2_S1,V,N,2025M1,2023,40401.4
A,ITD4,B1GQ_B_W2_S1,V,N,2025M1,2021,40472.5
A,ITD4,B1GQ_B_W2_S1,V,N,2025M1,2022,42690.3
A,ITD4,B1GQ_B_W2_S1,V,N,2025M1,2023,44996.2
A,ITD4,D21X31_C_W2_S1,V,N,2025M1,2021,4329.5
A,ITD4,D21X31_C_W2_S1,V,N,2025M1,2022,4340.3
A,ITD4,D21X31_C_W2_S1,V,N,2025M1,2023,4594.9
A,ITD41,B1G_B_W2_S1,V,N,2025M1,2021,9177.0
A,ITD41,B1G_B_W2_S1,V,N,2025M1,2022,9712.0
A,ITD41,B1GQ_B_W2_S1,V,N,2025M1,2021,10276.0
A,ITD41,B1GQ_B_W2_S1,V,N,2025M1,2022,10811.0
A,ITD41,D21X31_C_W2_S1,V,N,2025M1,2021,1099.0
A,ITD41,D21X31_C_W2_S1,V,N,2025M1,2022,1099.0
A,ITD42,B1G_B_W2_S1,V,N,2025M1,2021,15388.0
A,ITD42,B1G_B_W2_S1,V,N,2025M1,2022,16661.0
A,ITD42,B1GQ_B_W2_S1,V,N,2025M1,2021,17230.0
A,ITD42,B1GQ_B_W2_S1,V,N,2025M1,2022,18546.0
A,ITD42,D21X31_C_W2_S1,V,N,2025M1,2021,1843.0
A,ITD42,D21X31_C_W2_S1,V,N,2025M1,2022,1886.0
A,ITD43,B1G_B_W2_S1,V,N,2025M1,2021,3677.0
A,ITD43,B1G_B_W2_S1,V,N,2025M1,2022,3942.0
A,ITD43,B1GQ_B_W2_S1,V,N,2025M1,2021,4117.0
A,ITD43,B1GQ_B_W2_S1,V,N,2025M1,2022,4388.0
A,ITD43,D21X31_C_W2_S1,V,N,2025M1,2021,440.0
A,ITD43,D21X31_C_W2_S1,V,N,2025M1,2022,446.0
A,ITD44,B1G_B_W2_S1,V,N,2025M1,2021,7901.0
A,ITD44,B1G_B_W2_S1,V,N,2025M1,2022,8036.0
A,ITD44,B1GQ_B_W2_S1,V,N,2025M1,2021,8847.0
A,ITD44,B1GQ_B_W2_S1,V,N,2025M1,2022,8945.0
A,ITD44,D21X31_C_W2_S1,V,N,2025M1,2021,946.0
A,ITD44,D21X31_C_W2_S1,V,N,2025M1,2022,909.0
A,ITD5,B1G_B_W2_S1,V,N,2025M1,2021,150885.5
A,ITD5,B1G_B_W2_S1,V,N,2025M1,2022,161969.9
A,ITD5,B1G_B_W2_S1,V,N,2025M1,2023,172907.2
A,ITD5,B1GQ_B_W2_S1,V,N,2025M1,2021,169152.7
A,ITD5,B1GQ_B_W2_S1,V,N,2025M1,2022,180533.3
A,ITD5,B1GQ_B_W2_S1,V,N,2025M1,2023,192662.6
